ATKMSG_M_000=!
ATKMSG_Y_000=!
ATKMSG_E_000=!
ATKMSG_N_000=!
ATKMSG_M_001={0x0101,0x0000} setzt[0x000A]Pfund ein!
ATKMSG_E_079={0x0101,0x0000} (Gegner) setzt[0x000A]Schlafpuder ein!
ATKMSG_N_079={0x0101,0x0000} (Herrscher) setzt[0x000A]Schlafpuder ein!
ATKMSG_M_080={0x0101,0x0000} setzt[0x000A]Blättertanz ein!
ATKMSG_Y_080={0x0101,0x0000} (wild) setzt[0x000A]Blättertanz ein!
ATKMSG_E_080={0x0101,0x0000} (Gegner) setzt[0x000A]Blättertanz ein!
ATKMSG_N_080={0x0101,0x0000} (Herrscher) setzt[0x000A]Blättertanz ein!
ATKMSG_M_081={0x0101,0x0000} setzt[0x000A]Fadenschuss ein!
ATKMSG_Y_081={0x0101,0x0000} (wild) setzt[0x000A]Fadenschuss ein!
ATKMSG_E_081={0x0101,0x0000} (Gegner) setzt[0x000A]Fadenschuss ein!
ATKMSG_N_081={0x0101,0x0000} (Herrscher) setzt[0x000A]Fadenschuss ein!
ATKMSG_M_082={0x0101,0x0000} setzt[0x000A]Drachenwut ein!
ATKMSG_Y_082={0x0101,0x0000} (wild) setzt[0x000A]Drachenwut ein!
ATKMSG_E_082={0x0101,0x0000} (Gegner) setzt[0x000A]Drachenwut ein!
ATKMSG_N_082={0x0101,0x0000} (Herrscher) setzt[0x000A]Drachenwut ein!
ATKMSG_M_083={0x0101,0x0000} setzt[0x000A]Feuerwirbel ein!
ATKMSG_Y_083={0x0101,0x0000} (wild) setzt[0x000A]Feuerwirbel ein!
ATKMSG_E_083={0x0101,0x0000} (Gegner) setzt[0x000A]Feuerwirbel ein!
ATKMSG_N_083={0x0101,0x0000} (Herrscher) setzt[0x000A]Feuerwirbel ein!
ATKMSG_M_084={0x0101,0x0000} setzt[0x000A]Donnerschock ein!
ATKMSG_Y_084={0x0101,0x0000} (wild) setzt[0x000A]Donnerschock ein!
ATKMSG_E_084={0x0101,0x0000} (Gegner) setzt[0x000A]Donnerschock ein!
ATKMSG_N_084={0x0101,0x0000} (Herrscher) setzt[0x000A]Donnerschock ein!
ATKMSG_M_085={0x0101,0x0000} setzt[0x000A]Donnerblitz ein!
ATKMSG_Y_085={0x0101,0x0000} (wild) setzt[0x000A]Donnerblitz ein!
ATKMSG_E_085={0x0101,0x0000} (Gegner) setzt[0x000A]Donnerblitz ein!
ATKMSG_N_085={0x0101,0x0000} (Herrscher) setzt[0x000A]Donnerblitz ein!
ATKMSG_M_086={0x0101,0x0000} setzt[0x000A]Donnerwelle ein!
ATKMSG_Y_086={0x0101,0x0000} (wild) setzt[0x000A]Donnerwelle ein!
ATKMSG_E_086={0x0101,0x0000} (Gegner) setzt[0x000A]Donnerwelle ein!
ATKMSG_N_086={0x0101,0x0000} (Herrscher) setzt[0x000A]Donnerwelle ein!
ATKMSG_M_087={0x0101,0x0000} setzt[0x000A]Donner ein!
ATKMSG_Y_087={0x0101,0x0000} (wild) setzt[0x000A]Donner ein!
ATKMSG_E_087={0x0101,0x0000} (Gegner) setzt[0x000A]Donner ein!
ATKMSG_N_087={0x0101,0x0000} (Herrscher) setzt[0x000A]Donner ein!
ATKMSG_M_088={0x0101,0x0000} setzt[0x000A]Steinwurf ein!
ATKMSG_Y_088={0x0101,0x0000} (wild) setzt[0x000A]Steinwurf ein!
ATKMSG_E_088={0x0101,0x0000} (Gegner) setzt[0x000A]Steinwurf ein!
ATKMSG_N_088={0x0101,0x0000} (Herrscher) setzt[0x000A]Steinwurf ein!
ATKMSG_M_089={0x0101,0x0000} setzt[0x000A]Erdbeben ein!
ATKMSG_Y_089={0x0101,0x0000} (wild) setzt[0x000A]Erdbeben ein!
ATKMSG_E_089={0x0101,0x0000} (Gegner) setzt[0x000A]Erdbeben ein!
ATKMSG_N_089={0x0101,0x0000} (Herrscher) setzt[0x000A]Erdbeben ein!
ATKMSG_M_090={0x0101,0x0000} setzt[0x000A]Geofissur ein!
ATKMSG_Y_090={0x0101,0x0000} (wild) setzt[0x000A]Geofissur ein!
ATKMSG_E_090={0x0101,0x0000} (Gegner) setzt[0x000A]Geofissur ein!
ATKMSG_N_090={0x0101,0x0000} (Herrscher) setzt[0x000A]Geofissur ein!
ATKMSG_M_091={0x0101,0x0000} setzt[0x000A]Schaufler ein!
ATKMSG_Y_091={0x0101,0x0000} (wild) setzt[0x000A]Schaufler ein!
ATKMSG_E_091={0x0101,0x0000} (Gegner) setzt[0x000A]Schaufler ein!
ATKMSG_N_091={0x0101,0x0000} (Herrscher) setzt[0x000A]Schaufler ein!
ATKMSG_M_092={0x0101,0x0000} setzt[0x000A]Toxin ein!
ATKMSG_Y_092={0x0101,0x0000} (wild) setzt[0x000A]Toxin ein!
ATKMSG_E_092={0x0101,0x0000} (Gegner) setzt[0x000A]Toxin ein!
ATKMSG_N_092={0x0101,0x0000} (Herrscher) setzt[0x000A]Toxin ein!
ATKMSG_M_093={0x0101,0x0000} setzt[0x000A]Konfusion ein!
ATKMSG_Y_093={0x0101,0x0000} (wild) setzt[0x000A]Konfusion ein!
ATKMSG_E_093={0x0101,0x0000} (Gegner) setzt[0x000A]Konfusion ein!
ATKMSG_N_093={0x0101,0x0000} (Herrscher) setzt[0x000A]Konfusion ein!
ATKMSG_M_094={0x0101,0x0000} setzt[0x000A]Psychokinese ein!
ATKMSG_Y_094={0x0101,0x0000} (wild) setzt[0x000A]Psychokinese ein!
ATKMSG_E_094={0x0101,0x0000} (Gegner) setzt[0x000A]Psychokinese ein!
ATKMSG_N_094={0x0101,0x0000} (Herrscher) setzt[0x000A]Psychokinese ein!
ATKMSG_M_095={0x0101,0x0000} setzt[0x000A]Hypnose ein!
ATKMSG_Y_095={0x0101,0x0000} (wild) setzt[0x000A]Hypnose ein!
ATKMSG_E_095={0x0101,0x0000} (Gegner) setzt[0x000A]Hypnose ein!
ATKMSG_N_095={0x0101,0x0000} (Herrscher) setzt[0x000A]Hypnose ein!
ATKMSG_M_096={0x0101,0x0000} setzt[0x000A]Meditation ein!
ATKMSG_Y_096={0x0101,0x0000} (wild) setzt[0x000A]Meditation ein!
ATKMSG_E_096={0x0101,0x0000} (Gegner) setzt[0x000A]Meditation ein!
ATKMSG_N_096={0x0101,0x0000} (Herrscher) setzt[0x000A]Meditation ein!
ATKMSG_M_097={0x0101,0x0000} setzt[0x000A]Agilität ein!
ATKMSG_Y_097={0x0101,0x0000} (wild) setzt[0x000A]Agilität ein!
ATKMSG_E_097={0x0101,0x0000} (Gegner) setzt[0x000A]Agilität ein!
ATKMSG_N_097={0x0101,0x0000} (Herrscher) setzt[0x000A]Agilität ein!
ATKMSG_M_098={0x0101,0x0000} setzt[0x000A]Ruckzuckhieb ein!
ATKMSG_Y_098={0x0101,0x0000} (wild) setzt[0x000A]Ruckzuckhieb ein!
ATKMSG_E_098={0x0101,0x0000} (Gegner) setzt[0x000A]Ruckzuckhieb ein!
ATKMSG_N_098={0x0101,0x0000} (Herrscher) setzt[0x000A]Ruckzuckhieb ein!
ATKMSG_M_099={0x0101,0x0000} setzt[0x000A]Raserei ein!
ATKMSG_Y_099={0x0101,0x0000} (wild) setzt[0x000A]Raserei ein!
ATKMSG_E_099={0x0101,0x0000} (Gegner) setzt[0x000A]Raserei ein!
ATKMSG_N_099={0x0101,0x0000} (Herrscher) setzt[0x000A]Raserei ein!
ATKMSG_M_100={0x0101,0x0000} setzt[0x000A]Teleport ein!
ATKMSG_Y_100={0x0101,0x0000} (wild) setzt[0x000A]Teleport ein!
ATKMSG_E_100={0x0101,0x0000} (Gegner) setzt[0x000A]Teleport ein!
ATKMSG_N_100={0x0101,0x0000} (Herrscher) setzt[0x000A]Teleport ein!
ATKMSG_M_101={0x0101,0x0000} setzt[0x000A]Nachtnebel ein!
ATKMSG_Y_101={0x0101,0x0000} (wild) setzt[0x000A]Nachtnebel ein!
ATKMSG_E_101={0x0101,0x0000} (Gegner) setzt[0x000A]Nachtnebel ein!
ATKMSG_N_101={0x0101,0x0000} (Herrscher) setzt[0x000A]Nachtnebel ein!
ATKMSG_M_102={0x0101,0x0000} setzt[0x000A]Mimikry ein!
ATKMSG_Y_102={0x0101,0x0000} (wild) setzt[0x000A]Mimikry ein!
ATKMSG_E_102={0x0101,0x0000} (Gegner) setzt[0x000A]Mimikry ein!
ATKMSG_N_102={0x0101,0x0000} (Herrscher) setzt[0x000A]Mimikry ein!
ATKMSG_M_103={0x0101,0x0000} setzt[0x000A]Kreideschrei ein!
ATKMSG_Y_103={0x0101,0x0000} (wild) setzt[0x000A]Kreideschrei ein!
ATKMSG_E_103={0x0101,0x0000} (Gegner) setzt[0x000A]Kreideschrei ein!
ATKMSG_N_103={0x0101,0x0000} (Herrscher) setzt[0x000A]Kreideschrei ein!
ATKMSG_M_104={0x0101,0x0000} setzt[0x000A]Doppelteam ein!
ATKMSG_Y_104={0x0101,0x0000} (wild) setzt[0x000A]Doppelteam ein!
ATKMSG_E_104={0x0101,0x0000} (Gegner) setzt[0x000A]Doppelteam ein!
ATKMSG_N_104={0x0101,0x0000} (Herrscher) setzt[0x000A]Doppelteam ein!
ATKMSG_M_105={0x0101,0x0000} setzt[0x000A]Genesung ein!
ATKMSG_Y_105={0x0101,0x0000} (wild) setzt[0x000A]Genesung ein!
ATKMSG_E_105={0x0101,0x0000} (Gegner) setzt[0x000A]Genesung ein!
ATKMSG_N_105={0x0101,0x0000} (Herrscher) setzt[0x000A]Genesung ein!
ATKMSG_M_106={0x0101,0x0000} setzt[0x000A]Härtner ein!
ATKMSG_Y_106={0x0101,0x0000} (wild) setzt[0x000A]Härtner ein!
ATKMSG_E_106={0x0101,0x0000} (Gegner) setzt[0x000A]Härtner ein!
ATKMSG_N_106={0x0101,0x0000} (Herrscher) setzt[0x000A]Härtner ein!
ATKMSG_M_107={0x0101,0x0000} setzt[0x000A]Komprimator ein!
ATKMSG_Y_107={0x0101,0x0000} (wild) setzt[0x000A]Komprimator ein!
ATKMSG_E_107={0x0101,0x0000} (Gegner) setzt[0x000A]Komprimator ein!
ATKMSG_N_107={0x0101,0x0000} (Herrscher) setzt[0x000A]Komprimator ein!
ATKMSG_M_108={0x0101,0x0000} setzt[0x000A]Rauchwolke ein!
ATKMSG_Y_108={0x0101,0x0000} (wild) setzt[0x000A]Rauchwolke ein!
ATKMSG_E_108={0x0101,0x0000} (Gegner) setzt[0x000A]Rauchwolke ein!
ATKMSG_N_108={0x0101,0x0000} (Herrscher) setzt[0x000A]Rauchwolke ein!
ATKMSG_M_109={0x0101,0x0000} setzt[0x000A]Konfustrahl ein!
ATKMSG_Y_109={0x0101,0x0000} (wild) setzt[0x000A]Konfustrahl ein!
ATKMSG_E_109={0x0101,0x0000} (Gegner) setzt[0x000A]Konfustrahl ein!
ATKMSG_N_109={0x0101,0x0000} (Herrscher) setzt[0x000A]Konfustrahl ein!
ATKMSG_M_110={0x0101,0x0000} setzt[0x000A]Panzerschutz ein!
ATKMSG_Y_110={0x0101,0x0000} (wild) setzt[0x000A]Panzerschutz ein!
ATKMSG_E_110={0x0101,0x0000} (Gegner) setzt[0x000A]Panzerschutz ein!
ATKMSG_N_110={0x0101,0x0000} (Herrscher) setzt[0x000A]Panzerschutz ein!
ATKMSG_M_111={0x0101,0x0000} setzt[0x000A]Einigler ein!
ATKMSG_Y_111={0x0101,0x0000} (wild) setzt[0x000A]Einigler ein!
ATKMSG_E_111={0x0101,0x0000} (Gegner) setzt[0x000A]Einigler ein!
ATKMSG_N_111={0x0101,0x0000} (Herrscher) setzt[0x000A]Einigler ein!
ATKMSG_M_112={0x0101,0x0000} setzt[0x000A]Barriere ein!
ATKMSG_Y_112={0x0101,0x0000} (wild) setzt[0x000A]Barriere ein!
ATKMSG_E_112={0x0101,0x0000} (Gegner) setzt[0x000A]Barriere ein!
ATKMSG_N_112={0x0101,0x0000} (Herrscher) setzt[0x000A]Barriere ein!
ATKMSG_M_113={0x0101,0x0000} setzt[0x000A]Lichtschild ein!
ATKMSG_Y_113={0x0101,0x0000} (wild) setzt[0x000A]Lichtschild ein!
ATKMSG_E_113={0x0101,0x0000} (Gegner) setzt[0x000A]Lichtschild ein!
ATKMSG_N_113={0x0101,0x0000} (Herrscher) setzt[0x000A]Lichtschild ein!
ATKMSG_M_114={0x0101,0x0000} setzt[0x000A]Dunkelnebel ein!
ATKMSG_Y_114={0x0101,0x0000} (wild) setzt[0x000A]Dunkelnebel ein!
ATKMSG_E_114={0x0101,0x0000} (Gegner) setzt[0x000A]Dunkelnebel ein!
ATKMSG_N_114={0x0101,0x0000} (Herrscher) setzt[0x000A]Dunkelnebel ein!
ATKMSG_M_115={0x0101,0x0000} setzt[0x000A]Reflektor ein!
ATKMSG_Y_115={0x0101,0x0000} (wild) setzt[0x000A]Reflektor ein!
ATKMSG_E_115={0x0101,0x0000} (Gegner) setzt[0x000A]Reflektor ein!
ATKMSG_N_115={0x0101,0x0000} (Herrscher) setzt[0x000A]Reflektor ein!
ATKMSG_M_116={0x0101,0x0000} setzt[0x000A]Energiefokus ein!
ATKMSG_Y_116={0x0101,0x0000} (wild) setzt[0x000A]Energiefokus ein!
ATKMSG_E_116={0x0101,0x0000} (Gegner) setzt[0x000A]Energiefokus ein!
ATKMSG_N_116={0x0101,0x0000} (Herrscher) setzt[0x000A]Energiefokus ein!
ATKMSG_M_117={0x0101,0x0000} setzt[0x000A]Geduld ein!
ATKMSG_Y_117={0x0101,0x0000} (wild) setzt[0x000A]Geduld ein!
ATKMSG_E_117={0x0101,0x0000} (Gegner) setzt[0x000A]Geduld ein!
ATKMSG_N_117={0x0101,0x0000} (Herrscher) setzt[0x000A]Geduld ein!
ATKMSG_M_118={0x0101,0x0000} setzt[0x000A]Metronom ein!
ATKMSG_Y_118={0x0101,0x0000} (wild) setzt[0x000A]Metronom ein!
ATKMSG_E_118={0x0101,0x0000} (Gegner) setzt[0x000A]Metronom ein!
ATKMSG_N_118={0x0101,0x0000} (Herrscher) setzt[0x000A]Metronom ein!
ATKMSG_M_119={0x0101,0x0000} setzt[0x000A]Spiegeltrick ein!
ATKMSG_Y_119={0x0101,0x0000} (wild) setzt[0x000A]Spiegeltrick ein!
ATKMSG_E_119={0x0101,0x0000} (Gegner) setzt[0x000A]Spiegeltrick ein!
ATKMSG_N_119={0x0101,0x0000} (Herrscher) setzt[0x000A]Spiegeltrick ein!
ATKMSG_M_120={0x0101,0x0000} setzt[0x000A]Finale ein!
ATKMSG_Y_120={0x0101,0x0000} (wild) setzt[0x000A]Finale ein!
ATKMSG_E_120={0x0101,0x0000} (Gegner) setzt[0x000A]Finale ein!
ATKMSG_N_120={0x0101,0x0000} (Herrscher) setzt[0x000A]Finale ein!
ATKMSG_M_121={0x0101,0x0000} setzt[0x000A]Eierbombe ein!
ATKMSG_Y_121={0x0101,0x0000} (wild) setzt[0x000A]Eierbombe ein!
ATKMSG_E_121={0x0101,0x0000} (Gegner) setzt[0x000A]Eierbombe ein!
ATKMSG_N_121={0x0101,0x0000} (Herrscher) setzt[0x000A]Eierbombe ein!
ATKMSG_M_122={0x0101,0x0000} setzt[0x000A]Schlecker ein!
ATKMSG_Y_122={0x0101,0x0000} (wild) setzt[0x000A]Schlecker ein!
ATKMSG_E_122={0x0101,0x0000} (Gegner) setzt[0x000A]Schlecker ein!
ATKMSG_N_122={0x0101,0x0000} (Herrscher) setzt[0x000A]Schlecker ein!
ATKMSG_M_123={0x0101,0x0000} setzt[0x000A]Smog ein!
ATKMSG_Y_123={0x0101,0x0000} (wild) setzt[0x000A]Smog ein!
ATKMSG_E_123={0x0101,0x0000} (Gegner) setzt[0x000A]Smog ein!
ATKMSG_N_123={0x0101,0x0000} (Herrscher) setzt[0x000A]Smog ein!
ATKMSG_M_124={0x0101,0x0000} setzt[0x000A]Schlammbad ein!
ATKMSG_Y_124={0x0101,0x0000} (wild) setzt[0x000A]Schlammbad ein!
ATKMSG_E_124={0x0101,0x0000} (Gegner) setzt[0x000A]Schlammbad ein!
ATKMSG_N_124={0x0101,0x0000} (Herrscher) setzt[0x000A]Schlammbad ein!
ATKMSG_M_125={0x0101,0x0000} setzt[0x000A]Knochenkeule ein!
ATKMSG_Y_125={0x0101,0x0000} (wild) setzt[0x000A]Knochenkeule ein!
ATKMSG_E_125={0x0101,0x0000} (Gegner) setzt[0x000A]Knochenkeule ein!
ATKMSG_N_125={0x0101,0x0000} (Herrscher) setzt[0x000A]Knochenkeule ein!
ATKMSG_M_126={0x0101,0x0000} setzt[0x000A]Feuersturm ein!
ATKMSG_Y_126={0x0101,0x0000} (wild) setzt[0x000A]Feuersturm ein!
ATKMSG_E_126={0x0101,0x0000} (Gegner) setzt[0x000A]Feuersturm ein!
ATKMSG_N_126={0x0101,0x0000} (Herrscher) setzt[0x000A]Feuersturm ein!
ATKMSG_M_127={0x0101,0x0000} setzt[0x000A]Kaskade ein!
ATKMSG_Y_127={0x0101,0x0000} (wild) setzt[0x000A]Kaskade ein!
ATKMSG_E_127={0x0101,0x0000} (Gegner) setzt[0x000A]Kaskade ein!
ATKMSG_N_127={0x0101,0x0000} (Herrscher) setzt[0x000A]Kaskade ein!
ATKMSG_M_128={0x0101,0x0000} setzt[0x000A]Schnapper ein!
ATKMSG_Y_128={0x0101,0x0000} (wild) setzt[0x000A]Schnapper ein!
ATKMSG_E_128={0x0101,0x0000} (Gegner) setzt[0x000A]Schnapper ein!
ATKMSG_N_128={0x0101,0x0000} (Herrscher) setzt[0x000A]Schnapper ein!
ATKMSG_M_129={0x0101,0x0000} setzt[0x000A]Sternschauer ein!
ATKMSG_Y_129={0x0101,0x0000} (wild) setzt[0x000A]Sternschauer ein!
ATKMSG_E_129={0x0101,0x0000} (Gegner) setzt[0x000A]Sternschauer ein!
ATKMSG_N_129={0x0101,0x0000} (Herrscher) setzt[0x000A]Sternschauer ein!
ATKMSG_M_130={0x0101,0x0000} setzt[0x000A]Schädelwumme ein!
ATKMSG_Y_130={0x0101,0x0000} (wild) setzt[0x000A]Schädelwumme ein!
ATKMSG_E_130={0x0101,0x0000} (Gegner) setzt[0x000A]Schädelwumme ein!
ATKMSG_N_130={0x0101,0x0000} (Herrscher) setzt[0x000A]Schädelwumme ein!
ATKMSG_M_131={0x0101,0x0000} setzt[0x000A]Dornkanone ein!
ATKMSG_Y_131={0x0101,0x0000} (wild) setzt[0x000A]Dornkanone ein!
ATKMSG_E_131={0x0101,0x0000} (Gegner) setzt[0x000A]Dornkanone ein!
ATKMSG_N_131={0x0101,0x0000} (Herrscher) setzt[0x000A]Dornkanone ein!
ATKMSG_M_132={0x0101,0x0000} setzt[0x000A]Umklammerung ein!
ATKMSG_Y_132={0x0101,0x0000} (wild) setzt[0x000A]Umklammerung ein!
ATKMSG_E_132={0x0101,0x0000} (Gegner) setzt[0x000A]Umklammerung ein!
ATKMSG_N_132={0x0101,0x0000} (Herrscher) setzt[0x000A]Umklammerung ein!
ATKMSG_M_133={0x0101,0x0000} setzt[0x000A]Amnesie ein!
ATKMSG_Y_133={0x0101,0x0000} (wild) setzt[0x000A]Amnesie ein!
ATKMSG_E_133={0x0101,0x0000} (Gegner) setzt[0x000A]Amnesie ein!
ATKMSG_N_133={0x0101,0x0000} (Herrscher) setzt[0x000A]Amnesie ein!
ATKMSG_M_134={0x0101,0x0000} setzt[0x000A]Psykraft ein!
ATKMSG_Y_134={0x0101,0x0000} (wild) setzt[0x000A]Psykraft ein!
ATKMSG_E_134={0x0101,0x0000} (Gegner) setzt[0x000A]Psykraft ein!
ATKMSG_N_134={0x0101,0x0000} (Herrscher) setzt[0x000A]Psykraft ein!
ATKMSG_M_135={0x0101,0x0000} setzt[0x000A]Weichei ein!
ATKMSG_Y_135={0x0101,0x0000} (wild) setzt[0x000A]Weichei ein!
ATKMSG_E_135={0x0101,0x0000} (Gegner) setzt[0x000A]Weichei ein!
ATKMSG_N_135={0x0101,0x0000} (Herrscher) setzt[0x000A]Weichei ein!
ATKMSG_M_136={0x0101,0x0000} setzt[0x000A]Turmkick ein!
ATKMSG_Y_136={0x0101,0x0000} (wild) setzt[0x000A]Turmkick ein!
ATKMSG_E_136={0x0101,0x0000} (Gegner) setzt[0x000A]Turmkick ein!
ATKMSG_N_136={0x0101,0x0000} (Herrscher) setzt[0x000A]Turmkick ein!
ATKMSG_M_137={0x0101,0x0000} setzt[0x000A]Giftblick ein!
ATKMSG_Y_137={0x0101,0x0000} (wild) setzt[0x000A]Giftblick ein!
ATKMSG_E_137={0x0101,0x0000} (Gegner) setzt[0x000A]Giftblick ein!
ATKMSG_N_137={0x0101,0x0000} (Herrscher) setzt[0x000A]Giftblick ein!
ATKMSG_M_138={0x0101,0x0000} setzt[0x000A]Traumfresser ein!
ATKMSG_Y_138={0x0101,0x0000} (wild) setzt[0x000A]Traumfresser ein!
ATKMSG_E_138={0x0101,0x0000} (Gegner) setzt[0x000A]Traumfresser ein!
ATKMSG_N_138={0x0101,0x0000} (Herrscher) setzt[0x000A]Traumfresser ein!
ATKMSG_M_139={0x0101,0x0000} setzt[0x000A]Giftwolke ein!
ATKMSG_Y_139={0x0101,0x0000} (wild) setzt[0x000A]Giftwolke ein!
ATKMSG_E_139={0x0101,0x0000} (Gegner) setzt[0x000A]Giftwolke ein!
ATKMSG_N_139={0x0101,0x0000} (Herrscher) setzt[0x000A]Giftwolke ein!
ATKMSG_M_140={0x0101,0x0000} setzt[0x000A]Stakkato ein!
ATKMSG_Y_140={0x0101,0x0000} (wild) setzt[0x000A]Stakkato ein!
ATKMSG_E_140={0x0101,0x0000} (Gegner) setzt[0x000A]Stakkato ein!
ATKMSG_N_140={0x0101,0x0000} (Herrscher) setzt[0x000A]Stakkato ein!
ATKMSG_M_141={0x0101,0x0000} setzt[0x000A]Blutsauger ein!
ATKMSG_Y_141={0x0101,0x0000} (wild) setzt[0x000A]Blutsauger ein!
ATKMSG_E_141={0x0101,0x0000} (Gegner) setzt[0x000A]Blutsauger ein!
ATKMSG_N_141={0x0101,0x0000} (Herrscher) setzt[0x000A]Blutsauger ein!
ATKMSG_M_142={0x0101,0x0000} setzt[0x000A]Todeskuss ein!
ATKMSG_Y_142={0x0101,0x0000} (wild) setzt[0x000A]Todeskuss ein!
ATKMSG_E_142={0x0101,0x0000} (Gegner) setzt[0x000A]Todeskuss ein!
ATKMSG_N_142={0x0101,0x0000} (Herrscher) setzt[0x000A]Todeskuss ein!
ATKMSG_M_143={0x0101,0x0000} setzt[0x000A]Himmelsfeger ein!
ATKMSG_Y_143={0x0101,0x0000} (wild) setzt[0x000A]Himmelsfeger ein!
ATKMSG_E_143={0x0101,0x0000} (Gegner) setzt[0x000A]Himmelsfeger ein!
ATKMSG_N_143={0x0101,0x0000} (Herrscher) setzt[0x000A]Himmelsfeger ein!
ATKMSG_M_144={0x0101,0x0000} setzt[0x000A]Wandler ein!
ATKMSG_Y_144={0x0101,0x0000} (wild) setzt[0x000A]Wandler ein!
ATKMSG_E_144={0x0101,0x0000} (Gegner) setzt[0x000A]Wandler ein!
ATKMSG_N_144={0x0101,0x0000} (Herrscher) setzt[0x000A]Wandler ein!
ATKMSG_M_145={0x0101,0x0000} setzt[0x000A]Blubber ein!
ATKMSG_Y_145={0x0101,0x0000} (wild) setzt[0x000A]Blubber ein!
ATKMSG_E_145={0x0101,0x0000} (Gegner) setzt[0x000A]Blubber ein!
ATKMSG_N_145={0x0101,0x0000} (Herrscher) setzt[0x000A]Blubber ein!
ATKMSG_M_146={0x0101,0x0000} setzt[0x000A]Irrschlag ein!
ATKMSG_Y_146={0x0101,0x0000} (wild) setzt[0x000A]Irrschlag ein!
ATKMSG_E_146={0x0101,0x0000} (Gegner) setzt[0x000A]Irrschlag ein!
ATKMSG_N_146={0x0101,0x0000} (Herrscher) setzt[0x000A]Irrschlag ein!
ATKMSG_M_147={0x0101,0x0000} setzt[0x000A]Pilzspore ein!
ATKMSG_Y_147={0x0101,0x0000} (wild) setzt[0x000A]Pilzspore ein!
ATKMSG_E_147={0x0101,0x0000} (Gegner) setzt[0x000A]Pilzspore ein!
ATKMSG_N_147={0x0101,0x0000} (Herrscher) setzt[0x000A]Pilzspore ein!
ATKMSG_M_148={0x0101,0x0000} setzt[0x000A]Blitz ein!
ATKMSG_Y_148={0x0101,0x0000} (wild) setzt[0x000A]Blitz ein!
ATKMSG_E_148={0x0101,0x0000} (Gegner) setzt[0x000A]Blitz ein!
ATKMSG_N_148={0x0101,0x0000} (Herrscher) setzt[0x000A]Blitz ein!
ATKMSG_M_149={0x0101,0x0000} setzt[0x000A]Psywelle ein!
ATKMSG_Y_149={0x0101,0x0000} (wild) setzt[0x000A]Psywelle ein!
ATKMSG_E_149={0x0101,0x0000} (Gegner) setzt[0x000A]Psywelle ein!
ATKMSG_N_149={0x0101,0x0000} (Herrscher) setzt[0x000A]Psywelle ein!
ATKMSG_M_150={0x0101,0x0000} setzt[0x000A]Platscher ein!
ATKMSG_Y_150={0x0101,0x0000} (wild) setzt[0x000A]Platscher ein!
ATKMSG_E_150={0x0101,0x0000} (Gegner) setzt[0x000A]Platscher ein!
ATKMSG_N_150={0x0101,0x0000} (Herrscher) setzt[0x000A]Platscher ein!
ATKMSG_M_151={0x0101,0x0000} setzt[0x000A]Säurepanzer ein!
ATKMSG_Y_151={0x0101,0x0000} (wild) setzt[0x000A]Säurepanzer ein!
ATKMSG_E_151={0x0101,0x0000} (Gegner) setzt[0x000A]Säurepanzer ein!
ATKMSG_N_151={0x0101,0x0000} (Herrscher) setzt[0x000A]Säurepanzer ein!
ATKMSG_M_152={0x0101,0x0000} setzt[0x000A]Krabbhammer ein!
ATKMSG_Y_152={0x0101,0x0000} (wild) setzt[0x000A]Krabbhammer ein!
ATKMSG_E_152={0x0101,0x0000} (Gegner) setzt[0x000A]Krabbhammer ein!
ATKMSG_N_152={0x0101,0x0000} (Herrscher) setzt[0x000A]Krabbhammer ein!
ATKMSG_M_153={0x0101,0x0000} setzt[0x000A]Explosion ein!
ATKMSG_Y_153={0x0101,0x0000} (wild) setzt[0x000A]Explosion ein!
ATKMSG_E_153={0x0101,0x0000} (Gegner) setzt[0x000A]Explosion ein!
ATKMSG_N_153={0x0101,0x0000} (Herrscher) setzt[0x000A]Explosion ein!
ATKMSG_M_154={0x0101,0x0000} setzt[0x000A]Kratzfurie ein!
ATKMSG_Y_154={0x0101,0x0000} (wild) setzt[0x000A]Kratzfurie ein!
ATKMSG_E_154={0x0101,0x0000} (Gegner) setzt[0x000A]Kratzfurie ein!
ATKMSG_N_154={0x0101,0x0000} (Herrscher) setzt[0x000A]Kratzfurie ein!
ATKMSG_M_155={0x0101,0x0000} setzt[0x000A]Knochmerang ein!
ATKMSG_Y_155={0x0101,0x0000} (wild) setzt[0x000A]Knochmerang ein!
ATKMSG_E_155={0x0101,0x0000} (Gegner) setzt[0x000A]Knochmerang ein!
ATKMSG_N_155={0x0101,0x0000} (Herrscher) setzt[0x000A]Knochmerang ein!
ATKMSG_M_156={0x0101,0x0000} setzt[0x000A]Erholung ein!
ATKMSG_Y_156={0x0101,0x0000} (wild) setzt[0x000A]Erholung ein!
ATKMSG_E_156={0x0101,0x0000} (Gegner) setzt[0x000A]Erholung ein!
ATKMSG_N_156={0x0101,0x0000} (Herrscher) setzt[0x000A]Erholung ein!
ATKMSG_M_157={0x0101,0x0000} setzt[0x000A]Steinhagel ein!
ATKMSG_Y_157={0x0101,0x0000} (wild) setzt[0x000A]Steinhagel ein!
ATKMSG_E_157={0x0101,0x0000} (Gegner) setzt[0x000A]Steinhagel ein!
ATKMSG_N_157={0x0101,0x0000} (Herrscher) setzt[0x000A]Steinhagel ein!
ATKMSG_M_158={0x0101,0x0000} setzt[0x000A]Hyperzahn ein!
