ATKMSG_Z_M_000=!
ATKMSG_Z_Y_000=!
ATKMSG_Z_E_000=!
ATKMSG_Z_N_000=!
ATKMSG_Z_M_001={0x0101,0x0000} setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_N_069={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Geowurf ein!
ATKMSG_Z_M_070={0x0101,0x0000} setzt[0x000A]Z-Stärke ein!
ATKMSG_Z_Y_070={0x0101,0x0000} (wild) setzt[0x000A]Z-Stärke ein!
ATKMSG_Z_E_070={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Stärke ein!
ATKMSG_Z_N_070={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Stärke ein!
ATKMSG_Z_M_071={0x0101,0x0000} setzt[0x000A]Z-Absorber ein!
ATKMSG_Z_Y_071={0x0101,0x0000} (wild) setzt[0x000A]Z-Absorber ein!
ATKMSG_Z_E_071={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Absorber ein!
ATKMSG_Z_N_071={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Absorber ein!
ATKMSG_Z_M_072={0x0101,0x0000} setzt[0x000A]Z-Megasauger ein!
ATKMSG_Z_Y_072={0x0101,0x0000} (wild) setzt[0x000A]Z-Megasauger ein!
ATKMSG_Z_E_072={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Megasauger ein!
ATKMSG_Z_N_072={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Megasauger ein!
ATKMSG_Z_M_073={0x0101,0x0000} setzt[0x000A]Z-Egelsamen ein!
ATKMSG_Z_Y_073={0x0101,0x0000} (wild) setzt[0x000A]Z-Egelsamen ein!
ATKMSG_Z_E_073={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Egelsamen ein!
ATKMSG_Z_N_073={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Egelsamen ein!
ATKMSG_Z_M_074={0x0101,0x0000} setzt[0x000A]Z-Wachstum ein!
ATKMSG_Z_Y_074={0x0101,0x0000} (wild) setzt[0x000A]Z-Wachstum ein!
ATKMSG_Z_E_074={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wachstum ein!
ATKMSG_Z_N_074={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wachstum ein!
ATKMSG_Z_M_075={0x0101,0x0000} setzt[0x000A]Z-Rasierblatt ein!
ATKMSG_Z_Y_075={0x0101,0x0000} (wild) setzt[0x000A]Z-Rasierblatt ein!
ATKMSG_Z_E_075={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Rasierblatt ein!
ATKMSG_Z_N_075={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Rasierblatt ein!
ATKMSG_Z_M_076={0x0101,0x0000} setzt[0x000A]Z-Solarstrahl ein!
ATKMSG_Z_Y_076={0x0101,0x0000} (wild) setzt[0x000A]Z-Solarstrahl ein!
ATKMSG_Z_E_076={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Solarstrahl ein!
ATKMSG_Z_N_076={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Solarstrahl ein!
ATKMSG_Z_M_077={0x0101,0x0000} setzt[0x000A]Z-Giftpuder ein!
ATKMSG_Z_Y_077={0x0101,0x0000} (wild) setzt[0x000A]Z-Giftpuder ein!
ATKMSG_Z_E_077={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Giftpuder ein!
ATKMSG_Z_N_077={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Giftpuder ein!
ATKMSG_Z_M_078={0x0101,0x0000} setzt[0x000A]Z-Stachelspore ein!
ATKMSG_Z_Y_078={0x0101,0x0000} (wild) setzt[0x000A]Z-Stachelspore ein!
ATKMSG_Z_E_078={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Stachelspore ein!
ATKMSG_Z_N_078={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Stachelspore ein!
ATKMSG_Z_M_079={0x0101,0x0000} setzt[0x000A]Z-Schlafpuder ein!
ATKMSG_Z_Y_079={0x0101,0x0000} (wild) setzt[0x000A]Z-Schlafpuder ein!
ATKMSG_Z_E_079={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schlafpuder ein!
ATKMSG_Z_N_079={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schlafpuder ein!
ATKMSG_Z_M_080={0x0101,0x0000} setzt[0x000A]Z-Blättertanz ein!
ATKMSG_Z_Y_080={0x0101,0x0000} (wild) setzt[0x000A]Z-Blättertanz ein!
ATKMSG_Z_E_080={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Blättertanz ein!
ATKMSG_Z_N_080={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Blättertanz ein!
ATKMSG_Z_M_081={0x0101,0x0000} setzt[0x000A]Z-Fadenschuss ein!
ATKMSG_Z_Y_081={0x0101,0x0000} (wild) setzt[0x000A]Z-Fadenschuss ein!
ATKMSG_Z_E_081={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Fadenschuss ein!
ATKMSG_Z_N_081={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Fadenschuss ein!
ATKMSG_Z_M_082={0x0101,0x0000} setzt[0x000A]Z-Drachenwut ein!
ATKMSG_Z_Y_082={0x0101,0x0000} (wild) setzt[0x000A]Z-Drachenwut ein!
ATKMSG_Z_E_082={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Drachenwut ein!
ATKMSG_Z_N_082={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Drachenwut ein!
ATKMSG_Z_M_083={0x0101,0x0000} setzt[0x000A]Z-Feuerwirbel ein!
ATKMSG_Z_Y_083={0x0101,0x0000} (wild) setzt[0x000A]Z-Feuerwirbel ein!
ATKMSG_Z_E_083={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Feuerwirbel ein!
ATKMSG_Z_N_083={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Feuerwirbel ein!
ATKMSG_Z_M_084={0x0101,0x0000} setzt[0x000A]Z-Donnerschock ein!
ATKMSG_Z_Y_084={0x0101,0x0000} (wild) setzt[0x000A]Z-Donnerschock ein!
ATKMSG_Z_E_084={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Donnerschock ein!
ATKMSG_Z_N_084={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Donnerschock ein!
ATKMSG_Z_M_085={0x0101,0x0000} setzt[0x000A]Z-Donnerblitz ein!
ATKMSG_Z_Y_085={0x0101,0x0000} (wild) setzt[0x000A]Z-Donnerblitz ein!
ATKMSG_Z_E_085={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Donnerblitz ein!
ATKMSG_Z_N_085={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Donnerblitz ein!
ATKMSG_Z_M_086={0x0101,0x0000} setzt[0x000A]Z-Donnerwelle ein!
ATKMSG_Z_Y_086={0x0101,0x0000} (wild) setzt[0x000A]Z-Donnerwelle ein!
ATKMSG_Z_E_086={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Donnerwelle ein!
ATKMSG_Z_N_086={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Donnerwelle ein!
ATKMSG_Z_M_087={0x0101,0x0000} setzt[0x000A]Z-Donner ein!
ATKMSG_Z_Y_087={0x0101,0x0000} (wild) setzt[0x000A]Z-Donner ein!
ATKMSG_Z_E_087={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Donner ein!
ATKMSG_Z_N_087={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Donner ein!
ATKMSG_Z_M_088={0x0101,0x0000} setzt[0x000A]Z-Steinwurf ein!
ATKMSG_Z_Y_088={0x0101,0x0000} (wild) setzt[0x000A]Z-Steinwurf ein!
ATKMSG_Z_E_088={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Steinwurf ein!
ATKMSG_Z_N_088={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Steinwurf ein!
ATKMSG_Z_M_089={0x0101,0x0000} setzt[0x000A]Z-Erdbeben ein!
ATKMSG_Z_Y_089={0x0101,0x0000} (wild) setzt[0x000A]Z-Erdbeben ein!
ATKMSG_Z_E_089={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Erdbeben ein!
ATKMSG_Z_N_089={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Erdbeben ein!
ATKMSG_Z_M_090={0x0101,0x0000} setzt[0x000A]Z-Geofissur ein!
ATKMSG_Z_Y_090={0x0101,0x0000} (wild) setzt[0x000A]Z-Geofissur ein!
ATKMSG_Z_E_090={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Geofissur ein!
ATKMSG_Z_N_090={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Geofissur ein!
ATKMSG_Z_M_091={0x0101,0x0000} setzt[0x000A]Z-Schaufler ein!
ATKMSG_Z_Y_091={0x0101,0x0000} (wild) setzt[0x000A]Z-Schaufler ein!
ATKMSG_Z_E_091={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schaufler ein!
ATKMSG_Z_N_091={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schaufler ein!
ATKMSG_Z_M_092={0x0101,0x0000} setzt[0x000A]Z-Toxin ein!
ATKMSG_Z_Y_092={0x0101,0x0000} (wild) setzt[0x000A]Z-Toxin ein!
ATKMSG_Z_E_092={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Toxin ein!
ATKMSG_Z_N_092={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Toxin ein!
ATKMSG_Z_M_093={0x0101,0x0000} setzt[0x000A]Z-Konfusion ein!
ATKMSG_Z_Y_093={0x0101,0x0000} (wild) setzt[0x000A]Z-Konfusion ein!
ATKMSG_Z_E_093={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Konfusion ein!
ATKMSG_Z_N_093={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Konfusion ein!
ATKMSG_Z_M_094={0x0101,0x0000} setzt[0x000A]Z-Psychokinese ein!
ATKMSG_Z_Y_094={0x0101,0x0000} (wild) setzt[0x000A]Z-Psychokinese ein!
ATKMSG_Z_E_094={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Psychokinese ein!
ATKMSG_Z_N_094={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Psychokinese ein!
ATKMSG_Z_M_095={0x0101,0x0000} setzt[0x000A]Z-Hypnose ein!
ATKMSG_Z_Y_095={0x0101,0x0000} (wild) setzt[0x000A]Z-Hypnose ein!
ATKMSG_Z_E_095={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Hypnose ein!
ATKMSG_Z_N_095={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Hypnose ein!
ATKMSG_Z_M_096={0x0101,0x0000} setzt[0x000A]Z-Meditation ein!
ATKMSG_Z_Y_096={0x0101,0x0000} (wild) setzt[0x000A]Z-Meditation ein!
ATKMSG_Z_E_096={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Meditation ein!
ATKMSG_Z_N_096={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Meditation ein!
ATKMSG_Z_M_097={0x0101,0x0000} setzt[0x000A]Z-Agilität ein!
ATKMSG_Z_Y_097={0x0101,0x0000} (wild) setzt[0x000A]Z-Agilität ein!
ATKMSG_Z_E_097={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Agilität ein!
ATKMSG_Z_N_097={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Agilität ein!
ATKMSG_Z_M_098={0x0101,0x0000} setzt[0x000A]Z-Ruckzuckhieb ein!
ATKMSG_Z_Y_098={0x0101,0x0000} (wild) setzt[0x000A]Z-Ruckzuckhieb ein!
ATKMSG_Z_E_098={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ruckzuckhieb ein!
ATKMSG_Z_N_098={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ruckzuckhieb ein!
ATKMSG_Z_M_099={0x0101,0x0000} setzt[0x000A]Z-Raserei ein!
ATKMSG_Z_Y_099={0x0101,0x0000} (wild) setzt[0x000A]Z-Raserei ein!
ATKMSG_Z_E_099={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Raserei ein!
ATKMSG_Z_N_099={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Raserei ein!
ATKMSG_Z_M_100={0x0101,0x0000} setzt[0x000A]Z-Teleport ein!
ATKMSG_Z_Y_100={0x0101,0x0000} (wild) setzt[0x000A]Z-Teleport ein!
ATKMSG_Z_E_100={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Teleport ein!
ATKMSG_Z_N_100={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Teleport ein!
ATKMSG_Z_M_101={0x0101,0x0000} setzt[0x000A]Z-Nachtnebel ein!
ATKMSG_Z_Y_101={0x0101,0x0000} (wild) setzt[0x000A]Z-Nachtnebel ein!
ATKMSG_Z_E_101={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Nachtnebel ein!
ATKMSG_Z_N_101={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Nachtnebel ein!
ATKMSG_Z_M_102={0x0101,0x0000} setzt[0x000A]Z-Mimikry ein!
ATKMSG_Z_Y_102={0x0101,0x0000} (wild) setzt[0x000A]Z-Mimikry ein!
ATKMSG_Z_E_102={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Mimikry ein!
ATKMSG_Z_N_102={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Mimikry ein!
ATKMSG_Z_M_103={0x0101,0x0000} setzt[0x000A]Z-Kreideschrei ein!
ATKMSG_Z_Y_103={0x0101,0x0000} (wild) setzt[0x000A]Z-Kreideschrei ein!
ATKMSG_Z_E_103={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kreideschrei ein!
ATKMSG_Z_N_103={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kreideschrei ein!
ATKMSG_Z_M_104={0x0101,0x0000} setzt[0x000A]Z-Doppelteam ein!
ATKMSG_Z_Y_104={0x0101,0x0000} (wild) setzt[0x000A]Z-Doppelteam ein!
ATKMSG_Z_E_104={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Doppelteam ein!
ATKMSG_Z_N_104={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Doppelteam ein!
ATKMSG_Z_M_105={0x0101,0x0000} setzt[0x000A]Z-Genesung ein!
ATKMSG_Z_Y_105={0x0101,0x0000} (wild) setzt[0x000A]Z-Genesung ein!
ATKMSG_Z_E_105={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Genesung ein!
ATKMSG_Z_N_105={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Genesung ein!
ATKMSG_Z_M_106={0x0101,0x0000} setzt[0x000A]Z-Härtner ein!
ATKMSG_Z_Y_106={0x0101,0x0000} (wild) setzt[0x000A]Z-Härtner ein!
ATKMSG_Z_E_106={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Härtner ein!
ATKMSG_Z_N_106={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Härtner ein!
ATKMSG_Z_M_107={0x0101,0x0000} setzt[0x000A]Z-Komprimator ein!
ATKMSG_Z_Y_107={0x0101,0x0000} (wild) setzt[0x000A]Z-Komprimator ein!
ATKMSG_Z_E_107={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Komprimator ein!
ATKMSG_Z_N_107={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Komprimator ein!
ATKMSG_Z_M_108={0x0101,0x0000} setzt[0x000A]Z-Rauchwolke ein!
ATKMSG_Z_Y_108={0x0101,0x0000} (wild) setzt[0x000A]Z-Rauchwolke ein!
ATKMSG_Z_E_108={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Rauchwolke ein!
ATKMSG_Z_N_108={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Rauchwolke ein!
ATKMSG_Z_M_109={0x0101,0x0000} setzt[0x000A]Z-Konfustrahl ein!
ATKMSG_Z_Y_109={0x0101,0x0000} (wild) setzt[0x000A]Z-Konfustrahl ein!
ATKMSG_Z_E_109={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Konfustrahl ein!
ATKMSG_Z_N_109={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Konfustrahl ein!
ATKMSG_Z_M_110={0x0101,0x0000} setzt[0x000A]Z-Panzerschutz ein!
ATKMSG_Z_Y_110={0x0101,0x0000} (wild) setzt[0x000A]Z-Panzerschutz ein!
ATKMSG_Z_E_110={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Panzerschutz ein!
ATKMSG_Z_N_110={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Panzerschutz ein!
ATKMSG_Z_M_111={0x0101,0x0000} setzt[0x000A]Z-Einigler ein!
ATKMSG_Z_Y_111={0x0101,0x0000} (wild) setzt[0x000A]Z-Einigler ein!
ATKMSG_Z_E_111={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Einigler ein!
ATKMSG_Z_N_111={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Einigler ein!
ATKMSG_Z_M_112={0x0101,0x0000} setzt[0x000A]Z-Barriere ein!
ATKMSG_Z_Y_112={0x0101,0x0000} (wild) setzt[0x000A]Z-Barriere ein!
ATKMSG_Z_E_112={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Barriere ein!
ATKMSG_Z_N_112={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Barriere ein!
ATKMSG_Z_M_113={0x0101,0x0000} setzt[0x000A]Z-Lichtschild ein!
ATKMSG_Z_Y_113={0x0101,0x0000} (wild) setzt[0x000A]Z-Lichtschild ein!
ATKMSG_Z_E_113={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Lichtschild ein!
ATKMSG_Z_N_113={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Lichtschild ein!
ATKMSG_Z_M_114={0x0101,0x0000} setzt[0x000A]Z-Dunkelnebel ein!
ATKMSG_Z_Y_114={0x0101,0x0000} (wild) setzt[0x000A]Z-Dunkelnebel ein!
ATKMSG_Z_E_114={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Dunkelnebel ein!
ATKMSG_Z_N_114={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Dunkelnebel ein!
ATKMSG_Z_M_115={0x0101,0x0000} setzt[0x000A]Z-Reflektor ein!
ATKMSG_Z_Y_115={0x0101,0x0000} (wild) setzt[0x000A]Z-Reflektor ein!
ATKMSG_Z_E_115={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Reflektor ein!
ATKMSG_Z_N_115={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Reflektor ein!
ATKMSG_Z_M_116={0x0101,0x0000} setzt[0x000A]Z-Energiefokus ein!
ATKMSG_Z_Y_116={0x0101,0x0000} (wild) setzt[0x000A]Z-Energiefokus ein!
ATKMSG_Z_E_116={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Energiefokus ein!
ATKMSG_Z_N_116={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Energiefokus ein!
ATKMSG_Z_M_117={0x0101,0x0000} setzt[0x000A]Z-Geduld ein!
ATKMSG_Z_Y_117={0x0101,0x0000} (wild) setzt[0x000A]Z-Geduld ein!
ATKMSG_Z_E_117={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Geduld ein!
ATKMSG_Z_N_117={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Geduld ein!
ATKMSG_Z_M_118={0x0101,0x0000} setzt[0x000A]Z-Metronom ein!
ATKMSG_Z_Y_118={0x0101,0x0000} (wild) setzt[0x000A]Z-Metronom ein!
ATKMSG_Z_E_118={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Metronom ein!
ATKMSG_Z_N_118={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Metronom ein!
ATKMSG_Z_M_119={0x0101,0x0000} setzt[0x000A]Z-Spiegeltrick ein!
ATKMSG_Z_Y_119={0x0101,0x0000} (wild) setzt[0x000A]Z-Spiegeltrick ein!
ATKMSG_Z_E_119={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Spiegeltrick ein!
ATKMSG_Z_N_119={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Spiegeltrick ein!
ATKMSG_Z_M_120={0x0101,0x0000} setzt[0x000A]Z-Finale ein!
ATKMSG_Z_Y_120={0x0101,0x0000} (wild) setzt[0x000A]Z-Finale ein!
ATKMSG_Z_E_120={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Finale ein!
ATKMSG_Z_N_120={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Finale ein!
ATKMSG_Z_M_121={0x0101,0x0000} setzt[0x000A]Z-Eierbombe ein!
ATKMSG_Z_Y_121={0x0101,0x0000} (wild) setzt[0x000A]Z-Eierbombe ein!
ATKMSG_Z_E_121={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eierbombe ein!
ATKMSG_Z_N_121={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eierbombe ein!
ATKMSG_Z_M_122={0x0101,0x0000} setzt[0x000A]Z-Schlecker ein!
ATKMSG_Z_Y_122={0x0101,0x0000} (wild) setzt[0x000A]Z-Schlecker ein!
ATKMSG_Z_E_122={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schlecker ein!
ATKMSG_Z_N_122={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schlecker ein!
ATKMSG_Z_M_123={0x0101,0x0000} setzt[0x000A]Z-Smog ein!
ATKMSG_Z_Y_123={0x0101,0x0000} (wild) setzt[0x000A]Z-Smog ein!
ATKMSG_Z_E_123={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Smog ein!
ATKMSG_Z_N_123={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Smog ein!
ATKMSG_Z_M_124={0x0101,0x0000} setzt[0x000A]Z-Schlammbad ein!
ATKMSG_Z_Y_124={0x0101,0x0000} (wild) setzt[0x000A]Z-Schlammbad ein!
ATKMSG_Z_E_124={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schlammbad ein!
ATKMSG_Z_N_124={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schlammbad ein!
ATKMSG_Z_M_125={0x0101,0x0000} setzt[0x000A]Z-Knochenkeule ein!
ATKMSG_Z_Y_125={0x0101,0x0000} (wild) setzt[0x000A]Z-Knochenkeule ein!
ATKMSG_Z_E_125={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Knochenkeule ein!
ATKMSG_Z_N_125={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Knochenkeule ein!
ATKMSG_Z_M_126={0x0101,0x0000} setzt[0x000A]Z-Feuersturm ein!
ATKMSG_Z_Y_126={0x0101,0x0000} (wild) setzt[0x000A]Z-Feuersturm ein!
ATKMSG_Z_E_126={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Feuersturm ein!
ATKMSG_Z_N_126={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Feuersturm ein!
ATKMSG_Z_M_127={0x0101,0x0000} setzt[0x000A]Z-Kaskade ein!
ATKMSG_Z_Y_127={0x0101,0x0000} (wild) setzt[0x000A]Z-Kaskade ein!
ATKMSG_Z_E_127={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kaskade ein!
ATKMSG_Z_N_127={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kaskade ein!
ATKMSG_Z_M_128={0x0101,0x0000} setzt[0x000A]Z-Schnapper ein!
ATKMSG_Z_Y_128={0x0101,0x0000} (wild) setzt[0x000A]Z-Schnapper ein!
ATKMSG_Z_E_128={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schnapper ein!
ATKMSG_Z_N_128={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schnapper ein!
ATKMSG_Z_M_129={0x0101,0x0000} setzt[0x000A]Z-Sternschauer ein!
ATKMSG_Z_Y_129={0x0101,0x0000} (wild) setzt[0x000A]Z-Sternschauer ein!
ATKMSG_Z_E_129={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Sternschauer ein!
ATKMSG_Z_N_129={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Sternschauer ein!
ATKMSG_Z_M_130={0x0101,0x0000} setzt[0x000A]Z-Schädelwumme ein!
ATKMSG_Z_Y_130={0x0101,0x0000} (wild) setzt[0x000A]Z-Schädelwumme ein!
ATKMSG_Z_E_130={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schädelwumme ein!
ATKMSG_Z_N_130={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schädelwumme ein!
ATKMSG_Z_M_131={0x0101,0x0000} setzt[0x000A]Z-Dornkanone ein!
ATKMSG_Z_Y_131={0x0101,0x0000} (wild) setzt[0x000A]Z-Dornkanone ein!
ATKMSG_Z_E_131={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Dornkanone ein!
ATKMSG_Z_N_131={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Dornkanone ein!
ATKMSG_Z_M_132={0x0101,0x0000} setzt[0x000A]Z-Umklammerung ein!
ATKMSG_Z_Y_132={0x0101,0x0000} (wild) setzt[0x000A]Z-Umklammerung ein!
ATKMSG_Z_E_132={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Umklammerung ein!
ATKMSG_Z_N_132={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Umklammerung ein!
ATKMSG_Z_M_133={0x0101,0x0000} setzt[0x000A]Z-Amnesie ein!
ATKMSG_Z_Y_133={0x0101,0x0000} (wild) setzt[0x000A]Z-Amnesie ein!
ATKMSG_Z_E_133={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Amnesie ein!
ATKMSG_Z_N_133={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Amnesie ein!
ATKMSG_Z_M_134={0x0101,0x0000} setzt[0x000A]Z-Psykraft ein!
ATKMSG_Z_Y_134={0x0101,0x0000} (wild) setzt[0x000A]Z-Psykraft ein!
ATKMSG_Z_E_134={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Psykraft ein!
ATKMSG_Z_N_134={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Psykraft ein!
ATKMSG_Z_M_135={0x0101,0x0000} setzt[0x000A]Z-Weichei ein!
ATKMSG_Z_Y_135={0x0101,0x0000} (wild) setzt[0x000A]Z-Weichei ein!
ATKMSG_Z_E_135={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Weichei ein!
ATKMSG_Z_N_135={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Weichei ein!
ATKMSG_Z_M_136={0x0101,0x0000} setzt[0x000A]Z-Turmkick ein!
ATKMSG_Z_Y_136={0x0101,0x0000} (wild) setzt[0x000A]Z-Turmkick ein!
ATKMSG_Z_E_136={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Turmkick ein!
ATKMSG_Z_N_136={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Turmkick ein!
ATKMSG_Z_M_137={0x0101,0x0000} setzt[0x000A]Z-Giftblick ein!
ATKMSG_Z_Y_137={0x0101,0x0000} (wild) setzt[0x000A]Z-Giftblick ein!
ATKMSG_Z_E_137={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Giftblick ein!
ATKMSG_Z_N_137={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Giftblick ein!
ATKMSG_Z_M_138={0x0101,0x0000} setzt[0x000A]Z-Traumfresser ein!
ATKMSG_Z_Y_138={0x0101,0x0000} (wild) setzt[0x000A]Z-Traumfresser ein!
ATKMSG_Z_E_138={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Traumfresser ein!
ATKMSG_Z_N_138={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Traumfresser ein!
